ciudad,anio,V01_V89,V01_V79
APODACA,2019,45,3
APODACA,2020,30,0
APODACA,2021,46,0
APODACA,2022,40,5
APODACA,2023,33,6
CIUDAD MADERO,2019,29,17
CIUDAD MADERO,2020,15,7
CIUDAD MADERO,2021,18,13
CIUDAD MADERO,2022,23,11
CIUDAD MADERO,2023,21,11
ESCOBEDO,2019,29,1
ESCOBEDO,2020,28,0
ESCOBEDO,2021,39,4
ESCOBEDO,2022,29,0
ESCOBEDO,2023,24,3
GARCIA,2019,25,1
GARCIA,2020,27,0
GARCIA,2021,25,1
GARCIA,2022,28,1
GARCIA,2023,24,0
GUADALUPE,2019,21,2
GUADALUPE,2020,14,0
GUADALUPE,2021,24,0
GUADALUPE,2022,28,5
GUADALUPE,2023,25,5
MATAMOROS,2019,71,38
MATAMOROS,2020,8,4
MATAMOROS,2021,10,3
MATAMOROS,2022,59,35
MATAMOROS,2023,62,38
MONTERREY,2019,240,11
MONTERREY,2020,240,16
MONTERREY,2021,246,15
MONTERREY,2022,237,20
MONTERREY,2023,197,34
NUEVO LAREDO,2019,47,14
NUEVO LAREDO,2020,41,26
NUEVO LAREDO,2021,36,22
NUEVO LAREDO,2022,45,28
NUEVO LAREDO,2023,21,14
REYNOSA,2019,103,68
REYNOSA,2020,85,36
REYNOSA,2021,92,33
REYNOSA,2022,79,26
REYNOSA,2023,66,39
SAN NICOLAS,2019,40,3
SAN NICOLAS,2020,16,0
SAN NICOLAS,2021,27,1
SAN NICOLAS,2022,33,4
SAN NICOLAS,2023,38,6
SAN PEDRO,2019,7,1
SAN PEDRO,2020,7,0
SAN PEDRO,2021,4,0
SAN PEDRO,2022,4,1
SAN PEDRO,2023,7,2
SANTA CATARINA,2019,9,0
SANTA CATARINA,2020,22,0
SANTA CATARINA,2021,16,1
SANTA CATARINA,2022,17,1
SANTA CATARINA,2023,14,3
TAMPICO,2019,44,34
TAMPICO,2020,53,44
TAMPICO,2021,57,49
TAMPICO,2022,51,42
TAMPICO,2023,48,31
VICTORIA,2019,64,33
VICTORIA,2020,52,34
VICTORIA,2021,61,37
VICTORIA,2022,72,57
VICTORIA,2023,75,50
