fuente,ciudad,total_municipio,urbano_AGEB,periurbano,en_rectangulo,pct_fuera_AGEB,pct_fuera_rect
AXA,TAMPICO,9914,9154,760,9773,7.7,1.4
AXA,CIUDAD MADERO,4450,4427,23,4444,0.5,0.1
AXA,REYNOSA,3993,3706,287,3781,7.2,5.3
AXA,VICTORIA,2849,2710,139,2788,4.9,2.1
AXA,NUEVO LAREDO,3516,2947,569,3183,16.2,9.5
AXA,MATAMOROS,3367,3232,135,3272,4.0,2.8
ATUS,TAMPICO,4946,4944,2,4945,0.0,0.0
ATUS,CIUDAD MADERO,616,616,0,616,0.0,0.0
ATUS,REYNOSA,9670,9524,146,9658,1.5,0.1
ATUS,VICTORIA,6101,5980,121,6030,2.0,1.2
ATUS,NUEVO LAREDO,4278,4230,48,4188,1.1,2.1
ATUS,MATAMOROS,11289,11182,107,11207,0.9,0.7
Fiscalia,TAMPICO,911,846,65,900,7.1,1.2
Fiscalia,CIUDAD MADERO,459,441,18,459,3.9,0.0
Fiscalia,REYNOSA,915,786,129,827,14.1,9.6
Fiscalia,VICTORIA,750,628,122,703,16.3,6.3
Fiscalia,NUEVO LAREDO,392,359,33,355,8.4,9.4
Fiscalia,MATAMOROS,601,520,81,536,13.5,10.8
