ciudad,res,capa,objetivo,corrida,celdas,total_objetivo,empates,abc,abc_pes,abc_opt,cob_5,techo_5,cob_10,techo_10,cob_15,techo_15,cob_20,techo_20,rho,p
TAMPICO,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,554,165.0,0.861,0.4243,0.4368,0.4117,18.2,61.2,30.6,77.6,62.3,94.5,69.1,100.0,0.25,2.709892258005121e-09
TAMPICO,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,554,165.0,0.892,0.4226,0.4838,0.3613,27.3,61.2,40.3,77.6,46.7,94.5,53.0,100.0,0.167,0.0014424798870886436
TAMPICO,9,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),554,324.0,0.861,0.2796,0.2909,0.2682,25.6,45.7,39.8,66.0,56.1,81.5,66.4,90.1,0.502,4.511880687991483e-36
TAMPICO,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],554,324.0,0.892,0.1441,0.1523,0.1359,37.7,45.7,53.9,66.0,63.9,81.5,72.9,90.1,0.566,1.9692583212549354e-30
CIUDAD MADERO,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,305,78.0,0.813,0.6366,0.6566,0.6167,15.4,56.4,44.9,75.6,47.4,96.2,52.4,100.0,0.089,0.12304957255682926
CIUDAD MADERO,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,305,78.0,0.951,0.6505,0.8073,0.4938,11.5,56.4,17.1,75.6,42.6,96.2,50.7,100.0,-0.104,0.15207034166591277
CIUDAD MADERO,9,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),305,29.0,0.813,0.4383,0.4595,0.4171,37.9,65.5,48.3,100.0,48.3,100.0,51.7,100.0,0.238,4.2342301683158044e-05
CIUDAD MADERO,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],305,29.0,0.951,0.337,0.4059,0.2682,31.0,65.5,42.7,100.0,54.3,100.0,59.4,100.0,0.192,0.010874013660142241
REYNOSA,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,1150,350.0,0.97,0.6996,0.8149,0.5843,17.2,47.7,23.5,64.0,28.8,80.3,41.5,96.9,-0.04,0.23027059809702127
REYNOSA,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,1150,350.0,0.939,0.6551,0.7131,0.5971,15.7,47.7,31.2,64.0,38.7,80.3,47.6,96.9,0.055,0.0858445423196753
REYNOSA,9,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),1150,208.0,0.97,0.5421,0.6374,0.4467,21.5,51.4,37.5,78.8,42.6,100.0,51.0,100.0,0.156,4.560673339879575e-06
REYNOSA,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],1150,208.0,0.939,0.3592,0.3894,0.3289,28.4,51.4,39.1,78.8,51.7,100.0,62.1,100.0,0.323,2.339054309650094e-24
VICTORIA,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,610,167.0,0.946,0.7761,0.8757,0.6765,18.9,38.9,28.9,57.5,36.8,76.0,40.6,94.0,-0.063,0.15612442657011236
VICTORIA,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,610,167.0,0.887,0.7588,0.8323,0.6853,9.9,38.9,19.5,57.5,33.7,76.0,44.3,94.0,-0.012,0.7811173292855857
