ciudad,res,capa,objetivo,corrida,celdas,total_objetivo,empates,abc,abc_pes,abc_opt,cob_5,techo_5,cob_10,techo_10,cob_15,techo_15,cob_20,techo_20,rho,p
CIUDAD MADERO,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,284,70.0,0.799,0.5166,0.5366,0.4966,15.7,60.0,50.0,80.0,52.9,100.0,57.4,100.0,0.184,0.0020331168252576007
CIUDAD MADERO,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,284,70.0,0.947,0.5769,0.7007,0.4531,11.4,60.0,18.8,80.0,40.0,100.0,54.8,100.0,0.004,0.9571688121267912
CIUDAD MADERO,9,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),284,29.0,0.799,0.471,0.4919,0.45,37.9,62.1,47.4,100.0,48.3,100.0,51.7,100.0,0.231,0.00011108752259740345
CIUDAD MADERO,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],284,29.0,0.947,0.3641,0.4384,0.2897,29.7,62.1,41.8,100.0,51.7,100.0,58.0,100.0,0.192,0.010874013660142241
MATAMOROS,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,805,248.0,0.955,0.5224,0.6084,0.4363,24.6,46.0,33.9,62.1,40.8,78.6,52.8,94.8,0.122,0.002636825994829606
MATAMOROS,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,805,248.0,0.898,0.5363,0.5645,0.5081,20.7,46.0,34.8,62.1,44.8,78.6,49.6,94.8,0.21,7.128653614392412e-09
MATAMOROS,9,AXA,atus_vru,AXA-frecuencia -> victimas VRU (ATUS),805,332.0,0.955,0.5348,0.6234,0.4462,20.3,44.0,33.4,66.9,41.3,79.2,49.7,91.3,0.174,1.476151771878599e-05
MATAMOROS,9,ATUS,atus_vru,ATUS-frecuencia -> victimas VRU (ATUS) [CIRCULAR],805,332.0,0.898,0.248,0.2621,0.234,25.0,44.0,45.4,66.9,56.5,79.2,64.9,91.3,0.498,1.1874548379280817e-46
NUEVO LAREDO,9,AXA,fis_hom,AXA-frecuencia -> homicidios Fiscalia,739,208.0,0.958,0.7125,0.8072,0.6178,23.4,51.9,28.2,69.7,33.9,87.5,42.3,100.0,-0.023,0.5579670559015196
NUEVO LAREDO,9,ATUS,fis_hom,ATUS-frecuencia -> homicidios Fiscalia,739,208.0,0.936,0.5496,0.6038,0.4954,22.3,51.9,35.5,69.7,39.4,87.5,49.7,100.0,0.116,0.0035325842941065365
