ID,EDO,MES,ANIO,MPIO,HORA,MINUTOS,DIA,DIASEMANA,URBANA,SUBURBANA,TIPACCID,AUTOMOVIL,CAMPASAJ,MICROBUS,PASCAMION,OMNIBUS,TRANVIA,CAMIONETA,CAMION,TRACTOR,FERROCARRI,MOTOCICLET,BICICLETA,OTROVEHIC,CAUSAACCI,CAPAROD,SEXO,ALIENTO,CINTURON,EDAD,CONDMUERTO,CONDHERIDO,PASAMUERTO,PASAHERIDO,PEATMUERTO,PEATHERIDO,CICLMUERTO,CICLHERIDO,OTROMUERTO,OTROHERIDO,TOTMUERTOS,TOTHERIDOS,CLASE,CALLE1,CALLE2,CARRETERA,LONGITUD,LATITUD,OID,CIUDAD,vru,ksi,moto_ev,moto_vic
41,28,1,2019,22,6,30,1,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE GENERAL CARLOS SALAZAR,CALLE MEXICALI,,-97.51236,25.84672,,MATAMOROS,0,0,0,0
42,28,1,2019,22,19,5,1,2,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,56,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE QUINCE,CALLE MARIANO ABASOLO,,-97.51239,25.87964,,MATAMOROS,0,0,0,0
44,28,1,2019,22,9,40,1,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,62,0,0,0,0,0,0,0,0,0,0,0,0,3,BOULEVARD LICENCIADO EMILIO PORTES GIL,CALLE PIRÁMIDE TOLTECA,,-97.4938,25.84209,,MATAMOROS,0,0,0,0
46,28,1,2019,22,6,50,1,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,99,0,1,0,0,0,0,0,0,0,0,0,1,2,AVENIDA 12 DE MARZO,AVENIDA INGENIERO MARTE R. GÓMEZ,,-97.54634,25.82666,,MATAMOROS,0,1,0,0
47,28,1,2019,22,3,0,1,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE ARROYO GRANDE,CALLE CAMINO DEL CARMEN,,-97.48557,25.87476,,MATAMOROS,0,0,0,0
48,28,1,2019,22,13,0,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,19,0,0,0,1,0,0,0,0,0,0,0,1,2,CALLE SINALOA,CALLE REYNOSA,,-97.5123,25.84381,,MATAMOROS,0,1,0,0
49,28,1,2019,22,16,46,2,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,5,9,58,0,0,0,0,0,0,0,0,0,0,0,0,3,BOULEVARD LICENCIADO MANUEL CAVAZOS LERMA,CALLE TERCERA,,-97.50102,25.85251,,MATAMOROS,0,0,0,0
50,28,1,2019,22,21,20,2,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,23,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA LAURO VILLAR,CALLE JOSÉ ARRESE,,-97.49014,25.87161,,MATAMOROS,0,0,0,0
51,28,1,2019,22,20,45,3,4,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,5,9,61,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE SEXTA,CALLE AGUSTÍN DE ITURBIDE,,-97.50502,25.88554,,MATAMOROS,0,0,0,0
53,28,1,2019,22,14,0,3,4,1,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,5,9,45,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE AGUA DURA,CALLE AGUAS TERRITORIALES,,-97.50267,25.84181,,MATAMOROS,0,0,0,0
54,28,1,2019,22,16,0,3,4,1,0,11,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,5,9,50,0,0,0,0,0,0,0,1,0,0,0,1,2,CALLE CONSTITUYENTES,CALLE PALMAS,,-97.55188,25.87348,,MATAMOROS,1,1,0,0
55,28,1,2019,22,18,20,3,4,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE TLÁLOC (PROLONGACIÓN TRES),PRIVADA CUAUHTÉMOC,,-97.5108,25.82852,,MATAMOROS,0,0,0,0
56,28,1,2019,22,23,3,3,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,9,29,0,0,0,0,0,0,0,0,0,0,0,0,3,AVENIDA INGENIERO MARTE R. GÓMEZ,CALLE PEDRO INFANTE,,-97.51935,25.82684,,MATAMOROS,0,0,0,0
58,28,1,2019,22,13,40,4,5,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE SEXTA,CALLE HORACIO TERÁN,,-97.50422,25.87434,,MATAMOROS,0,0,0,0
59,28,1,2019,22,17,0,4,5,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,9,69,0,0,0,0,0,0,0,0,0,0,0,0,3,CALLE MELCHOR OCAMPO,CALLE CINCO,,-97.50316,25.87278,,MATAMOROS,0,0,0,0
