SINIESTRO,LAT,LON,TIPOVEH,ANIO,MES,HORA,ESTADO,CIUDAD,_archivo,lat,lon,tipoveh,moto
4989234,25.8727706,-97.5032208,Auto,2019,ENERO,19,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8727706,-97.5032208,AUTO,False
4991344,25.8459714,-97.4914501,Auto,2019,ENERO,12,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8459714,-97.4914501,AUTO,False
4992179,25.8653922,-97.5024804,Auto,2019,ENERO,17,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8653922,-97.5024804,AUTO,False
4993006,25.8794952,-97.5055728,Auto,2019,ENERO,14,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8794952,-97.5055728,AUTO,False
4993927,0,0,Auto,2019,ENERO,17,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,0.0,0.0,AUTO,False
4994017,25.8732814,-97.4749843,Auto,2019,ENERO,17,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8732814,-97.4749843,AUTO,False
4995745,25.8577131,-97.507465,Auto,2019,ENERO,9,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8577131,-97.507465,AUTO,False
4996555,25.8623444,-97.4781408,Auto,2019,ENERO,11,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8623444,-97.4781408,AUTO,False
4997010,25.8871395,-97.5458471,Auto,2019,ENERO,17,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8871395,-97.5458471,AUTO,False
4999066,25.8712089,-97.490484,Auto,2019,ENERO,14,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8712089,-97.490484,AUTO,False
5000905,25.818431,-97.5168096,Camión,2019,ENERO,12,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.818431,-97.5168096,CAMION,False
5001135,25.8468623,-97.4622819,Camión,2019,ENERO,14,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8468623,-97.4622819,CAMION,False
5002089,25.8658869,-97.5051916,Cami?n,2019,ENERO,10,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8658869,-97.5051916,CAMI?N,False
5002512,25.8704295,-97.5492482,Auto,2019,ENERO,13,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8704295,-97.5492482,AUTO,False
5003354,25.8603921,-97.4764145,Auto,2019,ENERO,21,TAMAULIPAS,MATAMOROS,incidentes_viales_2019_axa.csv,25.8603921,-97.4764145,AUTO,False
