UNIDAD,FECHA DE INICIO,AÑO,DELITO,MODALIDAD,MUNICIPIO_HECHO,LATITUD,LONGITUD,lat,lon,geo_ok,urbano,en_rect,ciudad_std
UNIDAD TAMPICO 4,01/01/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.314691,-97.85723,22.314691,-97.85723,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/01/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.21632455986576,-97.86466143518454,22.21632455986576,-97.86466143518454,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/02/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.22330,-97.89456,22.2233,-97.89456,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/02/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.307504877100257,-97.88141751124661,22.307504877100257,-97.8814175112466,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/02/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.312568237363767,-97.87615925073625,22.312568237363767,-97.87615925073624,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/03/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.30745,-97.88144,22.30745,-97.88144,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/03/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.25394,-97.87621,22.25394,-97.87621,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/03/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.2443622809142,-97.8693759493763,22.2443622809142,-97.8693759493763,True,True,True,TAMPICO
UNIDAD TAMPICO 3A.,01/03/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.2263022,97.8952929,22.2263022,-97.8952929,True,True,True,TAMPICO
UNIDAD TAMPICO 3A.,01/03/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.2511936,97.8618289,22.2511936,-97.8618289,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/04/2023,2023.0,HOMICIDIO,CULPOSO,TAMPICO,22.21896446232229,-97.86133296839665,22.21896446232229,-97.86133296839664,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/05/2021,2021.0,HOMICIDIO,CULPOSO,TAMPICO,22.23147494654113,-97.85948866103809,22.23147494654113,-97.85948866103809,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/05/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.26789400626879,-97.842968778177,22.26789400626879,-97.842968778177,True,False,True,TAMPICO
UNIDAD TAMPICO 1A.,01/05/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.26803945069276,-97.84295846904013,22.26803945069276,-97.84295846904013,True,False,True,TAMPICO
UNIDAD TAMPICO 1A.,01/05/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.221000525265605,-97.86334231617697,22.221000525265605,-97.86334231617695,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/05/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.278559697041487,-97.88533064601175,22.278559697041487,-97.88533064601177,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/06/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.29711950891345,-97.88985387050008,22.29711950891345,-97.88985387050008,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/06/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.267980751676024,-97.84294289561655,22.267980751676024,-97.84294289561656,True,False,True,TAMPICO
UNIDAD TAMPICO 2A.,01/06/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.30778500241653,-97.87847827977949,22.30778500241653,-97.87847827977949,True,True,True,TAMPICO
UNIDAD TAMPICO 4,01/06/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.308503449956273,-97.86538177049188,22.30850344995628,-97.86538177049188,True,True,True,TAMPICO
ATENCION INMEDIATA EN TAMPICO,01/06/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.222182728779686,-97.86038156132157,22.22218272877969,-97.86038156132156,True,True,True,TAMPICO
UNIDAD TAMPICO 2A.,01/08/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.21445046226181,-97.85519836565973,22.21445046226181,-97.85519836565972,True,True,True,TAMPICO
UNIDAD TAMPICO 1A.,01/08/2023,2023.0,LESIONES,CULPOSO,TAMPICO,22.252211767002915,-97.85831585526468,22.252211767002915,-97.85831585526468,True,True,True,TAMPICO
UNIDAD TAMPICO 2A.,01/09/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.248414731778105,-97.8700911567024,22.248414731778105,-97.8700911567024,True,True,True,TAMPICO
UNIDAD TAMPICO 2A.,01/09/2019,2019.0,LESIONES,CULPOSO,TAMPICO,22.252534569076353,-97.85875439643861,22.25253456907636,-97.8587543964386,True,True,True,TAMPICO
ATENCION INMEDIATA EN TAMPICO,01/09/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.27517,-97.87230,22.27517,-97.8723,True,True,True,TAMPICO
ATENCION INMEDIATA EN TAMPICO,01/09/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.32030,-97.88248,22.3203,-97.88248,True,True,True,TAMPICO
UNIDAD TAMPICO 3A.,01/10/2021,2021.0,LESIONES,CULPOSO,TAMPICO,22.213580745314786,-97.85119095195199,22.213580745314783,-97.851190951952,True,True,True,TAMPICO
UNIDAD TAMPICO 3A.,01/10/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.2816756412926,-97.88375115069688,22.2816756412926,-97.88375115069688,True,True,True,TAMPICO
