UNIDAD,FECHA DE INICIO,AÑO,DELITO,MODALIDAD,MUNICIPIO_HECHO,LATITUD,LONGITUD,lat,lon,geo_ok
UNIDAD MATAMOROS 1A.,01/01/2016,2016.0,HOMICIDIO,CULPOSO,MATAMOROS,25.8044038384065,-97.5100886821747,25.8044038384065,-97.5100886821747,True
UNIDAD VICTORIA 3A,01/01/2017,2017.0,HOMICIDIO,CULPOSO,VICTORIA,23.7483076994657,-99.1378355026245,23.7483076994657,-99.1378355026245,True
UNIDAD CIUDAD MADERO 1A.,01/01/2017,2017.0,LESIONES,CULPOSO,CIUDAD MADERO,22.256594718909177,-97.83079504966737,22.256594718909177,-97.83079504966736,True
UNIDAD TAMPICO 4,01/01/2018,2018.0,HOMICIDIO,CULPOSO,TAMPICO,22.251154,97.86210,22.251154,-97.8621,True
UNIDAD REYNOSA 1A.,01/01/2018,2018.0,HOMICIDIO,CULPOSO,REYNOSA,26.03963,-98.28392,26.03963,-98.28392,True
UNIDAD NUEVO LAREDO 2A.,01/01/2018,2018.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.4965281932047,-99.504976272583,27.4965281932047,-99.504976272583,True
UNIDAD NUEVO LAREDO 2A.,01/01/2018,2018.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.4813191462342,-99.5586204528809,27.4813191462342,-99.5586204528809,True
UNIDAD MATAMOROS 3,01/01/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.85833714391942,-97.52893388271333,25.85833714391942,-97.52893388271332,True
UNIDAD TAMPICO 4,01/01/2020,2020.0,LESIONES,CULPOSO,TAMPICO,22.314691,-97.85723,22.314691,-97.85723,True
UNIDAD REYNOSA 1A.,01/01/2021,2021.0,HOMICIDIO,CULPOSO,REYNOSA,26.036306032484973,98.34662762667053,26.036306032484973,-98.34662762667053,True
UNIDAD MATAMOROS 3,01/01/2021,2021.0,LESIONES,CULPOSO,MATAMOROS,25.854140329795765,-97.49752521514894,25.854140329795765,-97.49752521514894,True
UNIDAD TAMPICO 4,01/01/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.21632455986576,-97.86466143518454,22.21632455986576,-97.86466143518454,True
UNIDAD REYNOSA 1A.,01/01/2023,2023.0,HOMICIDIO,CULPOSO,REYNOSA,26.07831,-98.30316,26.07831,-98.30316,True
UNIDAD REYNOSA 1A.,01/01/2023,2023.0,HOMICIDIO,CULPOSO,REYNOSA,26.08253,-98.30237,26.08253,-98.30237,True
UNIDAD REYNOSA 1A.,01/01/2024,2024.0,HOMICIDIO,CULPOSO,REYNOSA,26.042399,98.402381,26.042399,-98.402381,True
UNIDAD TAMPICO 3A.,01/01/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.300894395477584,-97.88168983286191,22.300894395477584,-97.88168983286192,True
UNIDAD TAMPICO 3A.,01/01/2024,2024.0,LESIONES,CULPOSO,TAMPICO,22.266425824495077,-97.8595360762728,22.26642582449508,-97.8595360762728,True
UNIDAD REYNOSA 2A.,01/01/2024,2024.0,HOMICIDIO,CULPOSO,REYNOSA,25.9024667,-100.1986456,25.9024667,-100.1986456,False
UNIDAD CIUDAD MADERO 1A.,01/01/2025,2025.0,LESIONES,CULPOSO,CIUDAD MADERO,22.25537384569528,-97.82965493896606,22.25537384569528,-97.82965493896606,True
UNIDAD NUEVO LAREDO 3,01/01/2026,2026.0,LESIONES,CULPOSO,NUEVO LAREDO,27.388906698252693,-99.56571648232202,27.388906698252693,-99.56571648232202,True
UNIDAD MATAMOROS 1A.,01/01/2026,2026.0,HOMICIDIO,CULPOSO,MATAMOROS,25.841480798261358,-97.53830552101137,25.84148079826136,-97.53830552101137,True
UNIDAD REYNOSA 2A.,01/01/2026,2026.0,LESIONES,CULPOSO,REYNOSA,26.004818723561844,-98.31338515520501,26.004818723561844,-98.313385155205,True
UNIDAD MATAMOROS 1A.,01/02/2016,2016.0,HOMICIDIO,CULPOSO,MATAMOROS,25.700728823055,-97.5780129432678,25.700728823055,-97.5780129432678,True
UNIDAD VICTORIA 3A,01/02/2017,2017.0,LESIONES,CULPOSO,VICTORIA,23.7415520770355,-99.116410166971,23.7415520770355,-99.116410166971,True
UNIDAD NUEVO LAREDO 1A.,01/02/2017,2017.0,HOMICIDIO,CULPOSO,NUEVO LAREDO,27.3249498108002,-99.5876312255859,27.3249498108002,-99.5876312255859,True
UNIDAD REYNOSA 3A.,01/02/2019,2019.0,LESIONES,CULPOSO,REYNOSA,26.0315365,98.31448,26.0315365,-98.31448,True
UNIDAD MATAMOROS 2A.,01/02/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.833908449805346,-97.486909031868,25.833908449805342,-97.486909031868,True
UNIDAD MATAMOROS 3,01/02/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.823019218862086,-97.50336438417436,25.82301921886209,-97.50336438417436,True
UNIDAD MATAMOROS 3,01/02/2019,2019.0,LESIONES,CULPOSO,MATAMOROS,25.841237587779762,-97.55310595035554,25.84123758777976,-97.55310595035554,True
UNIDAD REYNOSA 1A.,01/02/2020,2020.0,LESIONES,CULPOSO,REYNOSA,26.030729987312533,98.39908718571856,26.030729987312533,-98.39908718571856,True
UNIDAD REYNOSA 2A.,01/02/2021,2021.0,HOMICIDIO,CULPOSO,REYNOSA,26.07423484686004,-98.28304047469592,26.07423484686004,-98.28304047469592,True
UNIDAD TAMPICO 4,01/02/2022,2022.0,LESIONES,CULPOSO,TAMPICO,22.22330,-97.89456,22.2233,-97.89456,True
