,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
89456da0003ffff,4.0,0.0,1.0,1.0,0.0,0.0
89456da0007ffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da000bffff,0.0,0.0,0.0,0.0,0.0,0.0
89456da0013ffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da0017ffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da001bffff,13.0,0.0,0.0,0.0,0.0,1.0
89456da0043ffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da0047ffff,0.0,0.0,0.0,0.0,0.0,0.0
89456da0057ffff,2.0,0.0,0.0,0.0,0.0,0.0
89456da0073ffff,0.0,0.0,0.0,0.0,0.0,0.0
89456da00c3ffff,3.0,0.0,0.0,0.0,0.0,0.0
89456da00c7ffff,5.0,0.0,0.0,0.0,0.0,0.0
89456da00cfffff,0.0,0.0,0.0,0.0,0.0,0.0
89456da00d3ffff,2.0,0.0,8.0,1.0,2.0,1.0
89456da00dbffff,1.0,0.0,2.0,1.0,0.0,0.0
89456da018bffff,0.0,0.0,0.0,0.0,0.0,1.0
89456da039bffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da0437ffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da0443ffff,2.0,0.0,0.0,0.0,0.0,0.0
89456da0453ffff,3.0,0.0,0.0,0.0,0.0,0.0
89456da045bffff,2.0,0.0,0.0,0.0,0.0,0.0
89456da0473ffff,3.0,0.0,0.0,0.0,0.0,1.0
89456da0483ffff,6.0,0.0,0.0,0.0,0.0,0.0
89456da0487ffff,4.0,0.0,0.0,0.0,0.0,0.0
89456da048fffff,1.0,0.0,0.0,0.0,0.0,0.0
89456da0493ffff,3.0,0.0,1.0,1.0,0.0,0.0
89456da049bffff,4.0,0.0,0.0,0.0,0.0,0.0
89456da04a3ffff,6.0,0.0,0.0,0.0,0.0,0.0
89456da04a7ffff,6.0,0.0,1.0,1.0,0.0,0.0
89456da04afffff,2.0,0.0,0.0,0.0,0.0,0.0
89456da04b3ffff,5.0,0.0,0.0,0.0,0.0,0.0
89456da04b7ffff,16.0,0.0,1.0,1.0,0.0,0.0
89456da04bbffff,8.0,0.0,0.0,0.0,0.0,0.0
89456da04cbffff,6.0,0.0,0.0,0.0,0.0,0.0
