,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8a48b0690007fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069000ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b0690017fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069001ffff,0.0,0.0,1.0,1.0,0.0,0.0
8a48b0690027fff,0.0,0.0,1.0,0.0,0.0,0.0
8a48b069006ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b0690097fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06900a7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06900b7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06900c7fff,0.0,0.0,1.0,1.0,0.0,0.0
8a48b06900dffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b06900e7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06900effff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069015ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06903a7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0690447fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069044ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069045ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069046ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b06904c7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06904cffff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b06904effff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0690517fff,0.0,0.0,0.0,0.0,0.0,1.0
8a48b0690547fff,0.0,0.0,3.0,0.0,3.0,0.0
8a48b069054ffff,0.0,0.0,1.0,1.0,0.0,0.0
8a48b069056ffff,0.0,0.0,1.0,0.0,0.0,0.0
8a48b06906dffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0690787fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06907affff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0690c37fff,0.0,0.0,1.0,1.0,0.0,0.0
8a48b0690d47fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06910cffff,1.0,0.0,2.0,0.0,0.0,0.0
8a48b0691147fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b069115ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691217fff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b069121ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691287fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691297fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06912a7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06912affff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b0691317fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691387fff,1.0,0.0,4.0,0.0,0.0,0.0
8a48b06913affff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b06913b7fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691657fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691677fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06916cffff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b06916effff,1.0,0.0,0.0,0.0,0.0,0.0
8a48b0691767fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691877fff,0.0,0.0,0.0,0.0,0.0,0.0
8a48b0691927fff,0.0,0.0,0.0,0.0,0.0,0.0
