,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
894880c028bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c02d3ffff,5.0,0.0,0.0,0.0,0.0,0.0
894880c02dbffff,7.0,0.0,0.0,0.0,0.0,0.0
894880c06dbffff,1.0,0.0,0.0,0.0,0.0,1.0
894880c1003ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c100bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c100fffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c1017ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c1047ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c107bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c1087ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c10bbffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c111bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c1203ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c1207ffff,16.0,0.0,0.0,0.0,0.0,0.0
894880c120fffff,66.0,0.0,0.0,0.0,0.0,0.0
894880c1233ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880c1237ffff,4.0,0.0,0.0,0.0,0.0,0.0
894880c123bffff,24.0,0.0,0.0,0.0,0.0,0.0
894880c1273ffff,28.0,0.0,0.0,0.0,0.0,0.0
894880c1277ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c12a3ffff,4.0,0.0,0.0,0.0,0.0,0.0
894880c12a7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c12abffff,3.0,0.0,0.0,0.0,0.0,0.0
894880c12b7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c13dbffff,6.0,0.0,0.0,0.0,0.0,0.0
894880c1497ffff,5.0,0.0,0.0,0.0,0.0,0.0
894880c1503ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c1507ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c1513ffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c1517ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c154bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c1583ffff,5.0,0.0,0.0,0.0,0.0,0.0
894880c158bffff,9.0,0.0,0.0,0.0,0.0,0.0
894880c1593ffff,7.0,0.0,0.0,0.0,0.0,0.0
894880c1597ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c15a3ffff,6.0,0.0,0.0,0.0,0.0,0.0
894880c15a7ffff,10.0,0.0,0.0,0.0,0.0,0.0
894880c15abffff,8.0,0.0,0.0,0.0,0.0,0.0
894880c15afffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c15b7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c15bbffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c15c3ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880c15c7ffff,8.0,0.0,0.0,0.0,0.0,0.0
894880c15cfffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c15d3ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c305bffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c3083ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c308bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c30c3ffff,0.0,0.0,1.0,0.0,1.0,0.0
894880c30c7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c30cbffff,0.0,0.0,1.0,1.0,0.0,0.0
894880c30d3ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c30d7ffff,0.0,0.0,1.0,1.0,0.0,0.0
894880c30dbffff,3.0,0.0,1.0,1.0,0.0,2.0
894880c3147ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c314fffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3157ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c317bffff,3.0,0.0,0.0,0.0,0.0,0.0
894880c31c3ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c31d3ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3203ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c320bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c320fffff,3.0,0.0,0.0,0.0,0.0,0.0
894880c321bffff,1.0,0.0,2.0,0.0,0.0,2.0
894880c3223ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c322bffff,19.0,0.0,0.0,0.0,0.0,0.0
894880c322fffff,3.0,0.0,0.0,0.0,0.0,1.0
894880c323bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3263ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3277ffff,4.0,0.0,1.0,0.0,0.0,1.0
894880c327bffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c3297ffff,0.0,0.0,4.0,0.0,0.0,2.0
894880c32c3ffff,0.0,0.0,1.0,1.0,0.0,0.0
894880c32cfffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c32dbffff,7.0,0.0,4.0,0.0,0.0,0.0
894880c3323ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c332fffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c334bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c33a7ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880c33b7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3403ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c3413ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c341bffff,0.0,0.0,1.0,0.0,0.0,0.0
894880c3423ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c344fffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c3453ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3457ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c345bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3463ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3467ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c346bffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c346fffff,2.0,0.0,6.0,0.0,0.0,0.0
894880c3477ffff,0.0,0.0,2.0,0.0,0.0,0.0
894880c349bffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c34c3ffff,0.0,0.0,2.0,0.0,0.0,0.0
894880c34c7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c34cbffff,1.0,0.0,0.0,0.0,0.0,1.0
894880c34d3ffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c34d7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c34dbffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c350bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c351bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3547ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c356bffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c3573ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c357bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3607ffff,7.0,0.0,0.0,0.0,0.0,2.0
894880c360bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3613ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c3617ffff,2.0,0.0,5.0,0.0,0.0,0.0
894880c362bffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c3633ffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c363bffff,5.0,0.0,0.0,0.0,0.0,0.0
894880c3643ffff,1.0,0.0,0.0,0.0,0.0,1.0
894880c3647ffff,1.0,0.0,1.0,0.0,0.0,0.0
894880c364bffff,3.0,1.0,1.0,0.0,0.0,0.0
894880c364fffff,5.0,0.0,1.0,0.0,0.0,0.0
894880c3653ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3657ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c365bffff,2.0,0.0,0.0,0.0,0.0,2.0
894880c3663ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c366bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3673ffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c367bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c3687ffff,1.0,0.0,5.0,0.0,0.0,0.0
894880c368bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c368fffff,3.0,0.0,2.0,0.0,1.0,0.0
894880c3693ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c3697ffff,5.0,0.0,5.0,0.0,0.0,0.0
894880c36a3ffff,4.0,0.0,1.0,0.0,0.0,0.0
894880c36a7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880c36afffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c36b3ffff,1.0,0.0,4.0,1.0,0.0,1.0
894880c36b7ffff,0.0,0.0,1.0,0.0,0.0,0.0
894880c36bbffff,2.0,0.0,0.0,0.0,0.0,0.0
894880c36c3ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880c36c7ffff,1.0,0.0,0.0,0.0,0.0,1.0
894880c36cbffff,2.0,0.0,3.0,0.0,0.0,0.0
894880c36cfffff,1.0,0.0,0.0,0.0,0.0,1.0
894880c36d3ffff,0.0,0.0,0.0,0.0,0.0,1.0
894880c36d7ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880d113bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d114fffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d124fffff,0.0,0.0,0.0,0.0,0.0,0.0
894880d125bffff,2.0,0.0,3.0,0.0,0.0,0.0
894880d126bffff,38.0,0.0,1.0,0.0,1.0,0.0
894880d126fffff,4.0,0.0,0.0,0.0,0.0,0.0
894880d1657ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880d1a23ffff,0.0,0.0,1.0,0.0,0.0,0.0
894880d1a2bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d1a37ffff,0.0,0.0,0.0,0.0,0.0,0.0
894880d1a4bffff,5.0,0.0,0.0,0.0,0.0,1.0
894880d1a6bffff,1.0,0.0,0.0,0.0,0.0,2.0
894880d1a6fffff,0.0,0.0,0.0,0.0,0.0,0.0
894880d1a73ffff,0.0,0.0,0.0,0.0,0.0,1.0
894880d1a77ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d1aa7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d1ab7ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d1b57ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d1bdbffff,1.0,0.0,3.0,0.0,0.0,0.0
894880d1e6bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d8003ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d8007ffff,3.0,0.0,1.0,0.0,0.0,0.0
894880d800bffff,4.0,0.0,1.0,0.0,1.0,0.0
894880d800fffff,2.0,0.0,0.0,0.0,0.0,0.0
894880d8013ffff,5.0,0.0,0.0,0.0,0.0,0.0
894880d8017ffff,2.0,0.0,1.0,1.0,0.0,0.0
894880d801bffff,0.0,0.0,0.0,0.0,0.0,0.0
894880d8023ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d8027ffff,4.0,0.0,2.0,0.0,0.0,1.0
894880d802bffff,5.0,0.0,1.0,0.0,0.0,0.0
894880d802fffff,4.0,0.0,3.0,0.0,2.0,0.0
894880d8033ffff,3.0,0.0,1.0,0.0,1.0,0.0
894880d8037ffff,6.0,2.0,4.0,0.0,0.0,0.0
894880d803bffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d8047ffff,1.0,0.0,2.0,1.0,1.0,0.0
894880d8057ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d8063ffff,3.0,0.0,1.0,1.0,0.0,0.0
894880d8067ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d806fffff,2.0,0.0,2.0,0.0,0.0,1.0
894880d8077ffff,2.0,0.0,0.0,0.0,0.0,0.0
894880d807bffff,0.0,0.0,1.0,1.0,0.0,0.0
894880d8083ffff,10.0,0.0,0.0,0.0,0.0,0.0
894880d8087ffff,4.0,0.0,1.0,0.0,0.0,0.0
894880d808bffff,2.0,0.0,0.0,0.0,0.0,0.0
894880d808fffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d8093ffff,5.0,0.0,1.0,0.0,1.0,0.0
894880d8097ffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d809bffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d80a3ffff,4.0,0.0,0.0,0.0,0.0,0.0
894880d80a7ffff,11.0,0.0,11.0,0.0,1.0,0.0
894880d80abffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d80afffff,8.0,0.0,2.0,1.0,0.0,0.0
894880d80b3ffff,3.0,0.0,3.0,0.0,2.0,2.0
894880d80b7ffff,9.0,0.0,2.0,0.0,0.0,0.0
894880d80bbffff,1.0,0.0,0.0,0.0,0.0,0.0
894880d80c7ffff,4.0,0.0,0.0,0.0,0.0,0.0
894880d80d7ffff,4.0,0.0,5.0,0.0,0.0,2.0
894880d8103ffff,12.0,0.0,4.0,1.0,0.0,1.0
894880d8107ffff,4.0,0.0,1.0,0.0,0.0,0.0
894880d810bffff,8.0,0.0,3.0,1.0,2.0,1.0
894880d810fffff,8.0,0.0,0.0,0.0,0.0,0.0
894880d8113ffff,13.0,0.0,4.0,1.0,0.0,1.0
894880d8117ffff,9.0,0.0,0.0,0.0,0.0,0.0
894880d811bffff,9.0,0.0,3.0,1.0,0.0,0.0
894880d8133ffff,5.0,0.0,0.0,0.0,0.0,0.0
894880d813bffff,4.0,0.0,2.0,0.0,1.0,0.0
894880d8143ffff,4.0,0.0,0.0,0.0,0.0,0.0
894880d8147ffff,6.0,0.0,5.0,2.0,0.0,2.0
894880d814bffff,5.0,0.0,1.0,1.0,0.0,0.0
894880d814fffff,5.0,0.0,3.0,0.0,2.0,1.0
894880d8153ffff,11.0,0.0,6.0,1.0,0.0,0.0
894880d8157ffff,5.0,0.0,9.0,0.0,0.0,0.0
894880d815bffff,2.0,0.0,2.0,0.0,0.0,1.0
894880d8163ffff,7.0,0.0,3.0,0.0,0.0,0.0
894880d816bffff,11.0,0.0,0.0,0.0,0.0,0.0
894880d8173ffff,14.0,1.0,1.0,0.0,0.0,10.0
894880d8177ffff,16.0,0.0,3.0,1.0,0.0,0.0
894880d817bffff,19.0,0.0,0.0,0.0,0.0,0.0
894880d8183ffff,7.0,0.0,1.0,0.0,1.0,0.0
894880d8187ffff,14.0,0.0,5.0,1.0,2.0,0.0
894880d818bffff,9.0,0.0,2.0,1.0,0.0,0.0
894880d818fffff,7.0,0.0,3.0,0.0,1.0,0.0
894880d8193ffff,6.0,0.0,1.0,0.0,1.0,0.0
894880d8197ffff,17.0,0.0,5.0,0.0,0.0,0.0
894880d819bffff,10.0,0.0,12.0,0.0,0.0,1.0
894880d81a3ffff,3.0,0.0,0.0,0.0,0.0,0.0
894880d81a7ffff,7.0,0.0,3.0,2.0,1.0,1.0
894880d81abffff,7.0,0.0,2.0,0.0,0.0,0.0
894880d81afffff,4.0,0.0,2.0,1.0,0.0,0.0
894880d81b3ffff,1.0,0.0,1.0,0.0,0.0,0.0
