,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8948b02c90fffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b02ca3bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b02ca47ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02ca4fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02ca63ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02ca77ffff,0.0,0.0,0.0,0.0,0.0,2.0
8948b02ca7bffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b02ca9bffff,0.0,0.0,0.0,0.0,0.0,2.0
8948b02cb07ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02cb2bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b02cb3bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02cb63ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02cbc7ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02d9b3ffff,0.0,0.0,1.0,0.0,0.0,0.0
8948b02da0bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b02da8fffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b02da97ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b02dabbffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b02db63ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02db73ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b02de27ffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b148423ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14847bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b1486a3ffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b1486cbffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b1486cfffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b14a4d3ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14aaa7ffff,0.0,0.0,0.0,0.0,0.0,2.0
8948b14aac3ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b027ffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b14b043ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b047ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b053ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b14b063ffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b14b06fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b087ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b14b08bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b08fffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b14b0cfffff,0.0,0.0,3.0,0.0,0.0,1.0
8948b14b0dbffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b14b15bffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b14b293ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b29bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b303ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b307ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b317ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b323ffff,2.0,0.0,0.0,0.0,0.0,1.0
8948b14b333ffff,5.0,0.0,0.0,0.0,0.0,0.0
8948b14b337ffff,1.0,0.0,0.0,0.0,0.0,1.0
8948b14b33bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b38bffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b14b38fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b397ffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b14b39bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b3afffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b443ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b447ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b453ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b457ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b45bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b4c3ffff,3.0,0.0,0.0,0.0,0.0,0.0
8948b14b4cbffff,1.0,0.0,1.0,1.0,0.0,0.0
8948b14b4cfffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b14b4d3ffff,0.0,0.0,1.0,0.0,1.0,0.0
8948b14b4dbffff,1.0,0.0,2.0,0.0,0.0,0.0
8948b14b603ffff,3.0,0.0,1.0,0.0,1.0,1.0
8948b14b60bffff,2.0,0.0,3.0,0.0,0.0,0.0
8948b14b60fffff,0.0,0.0,1.0,0.0,0.0,1.0
8948b14b613ffff,3.0,0.0,1.0,0.0,1.0,0.0
8948b14b61bffff,0.0,0.0,13.0,1.0,0.0,0.0
8948b14b623ffff,1.0,0.0,1.0,0.0,0.0,0.0
8948b14b627ffff,0.0,0.0,2.0,0.0,0.0,1.0
8948b14b637ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b63bffff,1.0,0.0,2.0,0.0,0.0,0.0
8948b14b653ffff,1.0,0.0,3.0,0.0,0.0,1.0
8948b14b657ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b663ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b673ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b683ffff,2.0,0.0,0.0,0.0,0.0,1.0
8948b14b687ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b68bffff,3.0,0.0,0.0,0.0,0.0,1.0
8948b14b68fffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b693ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b14b69bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b6a3ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b6c3ffff,0.0,0.0,0.0,0.0,0.0,2.0
8948b14b6c7ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b6cbffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b6cfffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b14b6d3ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b14b6d7ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b14b6dbffff,1.0,0.0,1.0,1.0,0.0,0.0
8948b158007ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15800bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15800fffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b158023ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15802bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15802fffff,1.0,0.0,0.0,0.0,0.0,1.0
8948b158033ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15803bffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b15804fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b158077ffff,2.0,0.0,0.0,0.0,0.0,0.0
8948b15807bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b158203ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b158217ffff,0.0,0.0,1.0,1.0,0.0,0.0
8948b15822fffff,0.0,0.0,0.0,0.0,0.0,1.0
8948b158263ffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15827bffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b15828fffff,0.0,0.0,0.0,0.0,0.0,0.0
8948b1582a7ffff,1.0,0.0,0.0,0.0,0.0,0.0
8948b1582b3ffff,0.0,0.0,0.0,0.0,0.0,0.0
