,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
8a456da00187fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da001a7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da019a7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da04b2ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da04b67fff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da04b9ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da0500ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a456da05017fff,3.0,1.0,1.0,0.0,0.0,0.0
8a456da0501ffff,0.0,0.0,1.0,0.0,1.0,0.0
8a456da0502ffff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da05037fff,2.0,1.0,0.0,0.0,0.0,0.0
8a456da05047fff,4.0,0.0,0.0,0.0,0.0,0.0
8a456da05057fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da05067fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da0506ffff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da05077fff,3.0,0.0,4.0,0.0,2.0,0.0
8a456da050c7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da050cffff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da050e7fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da050effff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da05107fff,0.0,0.0,0.0,0.0,0.0,0.0
8a456da0510ffff,2.0,0.0,2.0,0.0,2.0,0.0
8a456da05117fff,0.0,0.0,0.0,0.0,0.0,0.0
8a456da05127fff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da05137fff,1.0,0.0,0.0,0.0,0.0,0.0
8a456da0515ffff,3.0,0.0,0.0,0.0,0.0,0.0
8a456da05167fff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da05177fff,3.0,0.0,1.0,0.0,1.0,0.0
8a456da0518ffff,0.0,0.0,0.0,0.0,0.0,0.0
8a456da051a7fff,3.0,0.0,2.0,2.0,0.0,0.0
8a456da051affff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da05217fff,2.0,0.0,0.0,0.0,0.0,0.0
8a456da0521ffff,4.0,0.0,1.0,0.0,0.0,0.0
8a456da0522ffff,1.0,0.0,1.0,0.0,0.0,0.0
