,axa,axa_moto,atus_ksi,atus_vru,atus_moto,fis_hom
89499b0801bffff,0.0,0.0,1.0,0.0,0.0,0.0
89499b0803bffff,1.0,0.0,3.0,0.0,0.0,0.0
89499b080dbffff,0.0,0.0,2.0,0.0,0.0,0.0
89499b08443ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b08447ffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b08453ffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b08457ffff,0.0,0.0,4.0,1.0,0.0,0.0
89499b0847bffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b08483ffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b084c7ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b086b7ffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b090b3ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b094a7ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b094b7ffff,0.0,0.0,0.0,0.0,0.0,1.0
89499b0954bffff,0.0,0.0,0.0,0.0,0.0,1.0
89499b0964bffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0965bffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0a243ffff,0.0,0.0,1.0,1.0,0.0,1.0
89499b0a24bffff,2.0,0.0,1.0,0.0,0.0,0.0
89499b0a24fffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b0a253ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0a25bffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0a27bffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0a643ffff,0.0,0.0,0.0,0.0,0.0,0.0
89499b0a64fffff,2.0,0.0,0.0,0.0,0.0,0.0
89499b0b003ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0b007ffff,13.0,0.0,9.0,0.0,2.0,0.0
89499b0b00bffff,4.0,0.0,0.0,0.0,0.0,0.0
89499b0b00fffff,9.0,0.0,1.0,1.0,0.0,0.0
89499b0b013ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0b017ffff,15.0,0.0,0.0,0.0,0.0,0.0
89499b0b023ffff,1.0,0.0,0.0,0.0,0.0,0.0
89499b0b02bffff,2.0,0.0,0.0,0.0,0.0,0.0
89499b0b033ffff,2.0,0.0,0.0,0.0,0.0,0.0
89499b0b03bffff,3.0,0.0,0.0,0.0,0.0,0.0
89499b0b043ffff,2.0,0.0,0.0,0.0,0.0,0.0
89499b0b047ffff,31.0,0.0,15.0,1.0,4.0,0.0
